Country,State,Year,Additional Info,"Sub Centres And Hwc Sub Centres In Rural Areas I (UOM:Number), Scaling Factor:1","Primary Health Centres And Hwc Primary Health Centres In Rural Areas I (UOM:Number), Scaling Factor:1","Sub Centres In Rural Areas (UOM:Number), Scaling Factor:1","Sub Centres And Hwc Sub Centres Building Position In Rural Areas (UOM:Number), Scaling Factor:1","Sub Centres In Government Buildings In Rural Areas (UOM:Number), Scaling Factor:1","Sub Centres In Rented Buildings In Rural Areas (UOM:Number), Scaling Factor:1","Sub Centres In Rent Free Panchayat Or Voluntary Society Buildings In Rural Areas (UOM:Number), Scaling Factor:1","Sub Centres Buildings Under Construction In Rural Areas (UOM:Number), Scaling Factor:1","Primary Health Centres And Hwc Building Position In Rural Areas (UOM:Number), Scaling Factor:1","Primary Health Centres In Government Buildings In Rural Areas (UOM:Number), Scaling Factor:1","Primary Health Centres In Rented Buildings In Rural Areas (UOM:Number), Scaling Factor:1","Primary Health Centres In Rent Free Panchayat Or Voluntary Society Buildings In Rural Areas (UOM:Number), Scaling Factor:1","Primary Health Centres Buildings Under Construction In Rural Areas (UOM:Number), Scaling Factor:1","Community Health Centres Building Position In Rural Areas (UOM:Number), Scaling Factor:1","Community Health Centres In Government Buildings In Rural Areas (UOM:Number), Scaling Factor:1","Community Health Centres In Rented Buildings In Rural Areas (UOM:Number), Scaling Factor:1","Community Health Centres In Rent Free Panchayat Or Voluntary Society Buildings In Rural Areas (UOM:Number), Scaling Factor:1","Community Health Centres Buildings Under Construction In Rural Areas (UOM:Number), Scaling Factor:1","Anm Required At Sub Centres And Phcs In Rural Areas (UOM:Number), Scaling Factor:1","Anm Sanctioned At Sub Centres And Phcs In Rural Areas (UOM:Number), Scaling Factor:1","Anm In Position At Sub Centres And Phcs In Rural Areas (UOM:Number), Scaling Factor:1","Anm Vacancies At Sub Centres And Phcs In Rural Areas (UOM:Number), Scaling Factor:1","Anm Shortfall At Sub Centres And Phcs In Rural Areas (UOM:Number), Scaling Factor:1","Doctors Required At Phcs In Rural Areas (UOM:Number), Scaling Factor:1","Doctors Sanctioned At Phcs In Rural Areas (UOM:Number), Scaling Factor:1","Doctors In Position At Phcs In Rural Areas (UOM:Number), Scaling Factor:1","Doctors Vacancies At Phcs In Rural Areas (UOM:Number), Scaling Factor:1","Doctors Shortfall At Phcs In Rural Areas (UOM:Number), Scaling Factor:1","Specialists Required At Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Specialists Sanctioned At Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Specialists In Position At Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Specialists Vacancies At Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Specialists Shortfall At Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Radiographers Required At Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Radiographers Sanctioned At Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Radiographers In Position At Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Radiographers Vacancies At Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Radiographers Shortfall At Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Pharmacists Required At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Pharmacists Sanctioned At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Pharmacists In Position At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Pharmacists Vacancies At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Pharmacists Shortfall At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Lab Technicians Required At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Lab Technicians Sanctioned At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Lab Technicians In Position At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Lab Technicians Vacancies At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Lab Technicians Shortfall At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Nursing Staff Required At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Nursing Staff Sanctioned At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Nursing Staff In Position At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Nursing Staff Vacancies At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1","Nursing Staff Shortfall At Phcs And Chcs In Rural Areas (UOM:Number), Scaling Factor:1"
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2022","Dadra & Nagar Haveli and Daman Diu merged as single UT during Jan 2020,Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Pharmacist Shortfall in Rural Areas, Lab Technician Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",94.00000000000000000000,12.00000000000000000000,3.00000000000000000000,94.00000000000000000000,76.00000000000000000000,5.00000000000000000000,13.00000000000000000000,12.00000000000000000000,11.00000000000000000000,0.00000000000000000000,1.00000000000000000000,3.00000000000000000000,3.00000000000000000000,0.00000000000000000000,0.00000000000000000000,,,,106.00000000000000000000,177.00000000000000000000,173.00000000000000000000,4.00000000000000000000,,12.00000000000000000000,16.00000000000000000000,16.00000000000000000000,0.00000000000000000000,,12.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,12.00000000000000000000,3.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,3.00000000000000000000,15.00000000000000000000,26.00000000000000000000,26.00000000000000000000,0.00000000000000000000,,15.00000000000000000000,24.00000000000000000000,24.00000000000000000000,0.00000000000000000000,,33.00000000000000000000,89.00000000000000000000,89.00000000000000000000,0.00000000000000000000,
India,Tripura,"Calendar Year (Jan - Dec), 2022","Not Available in Health Worker [Female]/ANM Sanctioned in Rural Areas, Health Worker [Female]/ANM Vacant in Rural Areas, Doctors at PHCs Sanctioned in Rural Areas, Doctors at PHCs Vacant in Rural Areas, Specialists Sanctioned in Rural Areas, Specialists Vacant in Rural Areas, Radiographer Sanctioned in Rural Areas, Radiographer Vacant in Rural Areas, Pharmacist Sanctioned in Rural Areas, Pharmacist Vacant in Rural Areas, Lab Technician Sanctioned in Rural Areas, Lab Technician Vacant in Rural Areas, Nursing Staff Sanctioned in Rural Areas, Nursing Staff Vacant in Rural Areas; Surplus observed in Doctors at PHCs Shortfall in Rural Areas, Pharmacist Shortfall in Rural Areas, Lab Technician Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",956,108,21,956,827,8,121,108,108,0,0,21,21,0,0,,,,1064,,649,,415,108,,236,,,84,,3,,81,21,,12,,9,129,,163,,,129,,150,,,255,,683,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2022",Surplus observed in Pharmacist Shortfall in Rural Areas,20781,2919,829,20781,17127,3262,392,2919,2847,0,72,829,824,0,5,,,,23700,28448,21412,7036,2288,2919,4448,2890,1558,29,3316,2946,918,2028,2398,829,508,179,329,650,3748,5456,4639,817,,3748,3479,2184,1295,1564,8722,11684,6588,5096,2134
India,Uttarakhand,"Calendar Year (Jan - Dec), 2022",,1785,531,52,1785,1356,416,13,531,434,10,87,52,50,2,0,,,,2316,2389,1816,573,500,531,623,483,140,48,208,162,36,126,172,52,34,17,17,35,583,560,510,50,73,583,207,81,126,502,895,718,351,367,544
India,West Bengal,"Calendar Year (Jan - Dec), 2022","Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Pharmacist Shortfall in Rural Areas, Nursing Staff Vacant in Rural Areas, Nursing Staff Shortfall in Rural Areas",10357,915,348,10357,8346,1225,786,915,912,0,3,348,347,0,1,,,,11272,20077,17957,2120,,915,1538,975,563,,1392,289,97,192,1295,348,191,129,62,219,1263,1607,1377,230,,1263,1465,922,543,341,3351,5331,5340,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2021","Telangana came to existence in 2014 after bifurcation of Andhra Pradesh; Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",7437,1142,141,7437,2321,3851,1265,1142,1126,1,15,141,141,0,0,,,,8579,16255,14889,1366,,1142,2146,2001,145,,564,473,322,151,242,141,112,48,64,93,1283,1421,1205,216,78,1283,1455,1122,333,161,2129,4466,3770,696,
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2021","Surplus observed in Health Worker [Female]/ANM Vacant in Rural Areas, Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Vacant in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Specialists Vacant in Rural Areas, Radiographer Vacant in Rural Areas, Pharmacist Vacant in Rural Areas, Lab Technician Vacant in Rural Areas, Nursing Staff Vacant in Rural Areas, Nursing Staff Shortfall in Rural Areas",337,122,57,337,337,0,0,122,122,0,0,57,57,0,0,,,,459,486,596,,,122,114,135,,,228,17,19,,209,57,12,16,,41,179,84,101,,78,179,110,129,,50,521,538,681,,
India,Assam,"Calendar Year (Jan - Dec), 2021","Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Pharmacist Shortfall in Rural Areas, Lab Technician Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",4663,948,197,4663,3881,658,124,948,926,9,13,197,197,0,0,,,,5611,9094,8650,444,,948,1677,1383,294,,788,300,174,126,614,197,138,122,16,75,1145,1402,1350,52,,1145,1393,1272,121,,2327,3864,3403,461,
India,Bihar,"Calendar Year (Jan - Dec), 2021","Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",10258,1932,306,10258,2881,3472,3905,1932,1395,537,0,306,306,0,0,,,,12190,45109,20403,24706,,1932,4317,2902,1415,,1224,836,106,730,1118,306,0,0,0,306,2238,4126,1077,3049,1161,2238,4331,979,3352,1259,4074,15864,4956,10908,
India,Chandigarh,"Calendar Year (Jan - Dec), 2021","Not Applicable in Building position for Sub Centres functioning in Govt. Building in Rural Areas, Building position for Sub Centres functioning in Rented Building in Rural Areas, Building position for Sub Centres functioning in Rent Free Panchayat / Vol. Society Building in Rural Areas, Building position for PHCs functioning in Govt. Building in Rural Areas, Building position for PHCs functioning in Rented Building in Rural Areas, Building position for PHCs functioning in Rent Free Panchayat / Vol. Society Building in Rural Areas, Building position for CHCs functioning in Govt. Building in Rural Areas, Building position for CHCs functioning in Rented Building in Rural Areas, Building position for CHCs functioning in Rent Free Panchayat / Vol. Society Building in Rural Areas, Health Worker [Female]/ANM Sanctioned in Rural Areas, Health Worker [Female]/ANM In Position in Rural Areas, Health Worker [Female]/ANM Vacant in Rural Areas, Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Sanctioned in Rural Areas, Doctors at PHCs In Position in Rural Areas, Doctors at PHCs Vacant in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Specialists Sanctioned in Rural Areas, Specialists Vacant in Rural Areas, Specialists Shortfall in Rural Areas, Radiographer In Position in Rural Areas, Radiographer Shortfall in Rural Areas, Pharmacist Sanctioned in Rural Areas, Pharmacist Vacant in Rural Areas, Pharmacist Shortfall in Rural Areas, Lab Technician Sanctioned in Rural Areas, Lab Technician In Position in Rural Areas, Lab Technician Vacant in Rural Areas, Lab Technician Shortfall in Rural Areas, Nursing Staff Sanctioned in Rural Areas, Nursing Staff Vacant in Rural Areas, Nursing Staff Shortfall in Rural Areas",0,0,0,0,,,,0,,,,0,,,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2021","Surplus observed in Health Worker [Female]/ANM Vacant in Rural Areas, Health Worker [Female]/ANM Shortfall in Rural Areas, Lab Technician Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",5115,769,166,5115,4344,25,746,769,714,2,53,166,163,0,3,,,,5884,7058,8273,,,769,874,498,376,271,664,606,104,502,560,166,174,153,21,13,935,1061,818,243,117,935,1167,1003,164,,1931,3847,3500,347,
India,Delhi,"Calendar Year (Jan - Dec), 2021","Not Applicable in Building position for CHCs functioning in Govt. Building in Rural Areas, Building position for CHCs functioning in Rented Building in Rural Areas, Building position for CHCs functioning in Rent Free Panchayat / Vol. Society Building in Rural Areas, Specialists Sanctioned in Rural Areas, Specialists Vacant in Rural Areas, Specialists Shortfall in Rural Areas, Radiographer In Position in Rural Areas, Radiographer Shortfall in Rural Areas; Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Lab Technician Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",12,5,0,12,1,8,3,5,5,0,0,0,,,,,,,17,37,35,2,,5,19,16,3,,0,,,,,0,,,,,5,4,3,1,2,5,7,6,1,,5,6,6,0,
India,Goa,"Calendar Year (Jan - Dec), 2021","Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Pharmacist Shortfall in Rural Areas, Lab Technician Vacant in Rural Areas, Lab Technician Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",219,23,6,219,61,135,23,23,20,3,0,6,6,0,0,,,,242,447,390,57,,23,96,87,9,,24,16,5,11,19,6,6,5,1,1,29,60,56,4,,29,46,48,,,65,265,260,5,
India,Gujarat,"Calendar Year (Jan - Dec), 2021",Surplus observed in Doctors at PHCs Shortfall in Rural Areas,9162,1477,333,9162,5956,126,3080,1477,1189,16,272,333,293,1,39,,,,10639,11618,10023,1595,616,1477,1903,1679,224,,1332,366,135,231,1197,333,26,8,18,325,1810,1810,1626,184,184,1810,1810,1764,46,46,3808,4310,3799,511,9
India,Haryana,"Calendar Year (Jan - Dec), 2021","Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Specialists Vacant in Rural Areas, Nursing Staff Shortfall in Rural Areas",2626,384,124,2626,1608,265,753,384,310,4,70,124,119,1,4,,,,3010,5272,4428,844,,384,812,655,157,,496,0,22,,474,124,144,30,114,94,508,667,388,279,120,508,729,398,331,110,1252,3437,2438,999,
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2021","Not Available in Specialists Sanctioned in Rural Areas, Specialists Vacant in Rural Areas",2114,553,98,2114,1616,23,475,553,450,23,80,98,96,0,2,,,,2667,2215,1414,801,1253,553,618,517,101,36,392,,8,,384,98,60,37,23,61,651,694,529,165,122,651,298,114,184,537,1239,743,452,291,787
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2021","Jammu & Kashmir and Ladakh bifurcated and became UTs during Aug 2019; Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Radiographer Shortfall in Rural Areas, Pharmacist Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",2426,891,63,2426,750,1676,0,891,648,243,0,63,63,0,0,,,,3317,4726,4418,308,,891,1542,965,577,,252,308,181,127,71,63,320,251,69,,954,1203,971,232,,954,829,696,133,258,1332,1779,1525,254,
India,Jharkhand,"Calendar Year (Jan - Dec), 2021","Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Nursing Staff Vacant in Rural Areas",3848,291,171,3848,2422,1219,207,291,232,9,50,171,171,0,0,,,,4139,8278,5185,3093,,291,291,278,13,13,684,684,186,498,498,171,171,124,47,47,462,462,225,237,237,462,582,371,211,91,1488,462,1205,,283
India,Karnataka,"Calendar Year (Jan - Dec), 2021","Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Pharmacist Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",8891,2141,182,8891,4734,1716,2441,2141,1859,50,232,182,182,0,0,,,,11032,14240,11394,2846,,2141,2406,1801,605,340,728,462,219,243,509,182,140,114,26,68,2323,3935,2793,1142,,2323,2085,1724,361,599,3415,4773,4133,640,
India,Kerala,"Calendar Year (Jan - Dec), 2021","Surplus observed in Doctors at PHCs Shortfall in Rural Areas, Pharmacist Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",5234,782,213,5234,3446,499,1289,782,764,11,7,213,213,0,0,,,,6016,6730,5895,835,121,782,1500,1431,69,,852,54,54,0,798,213,17,12,5,201,995,1200,1166,34,,995,689,664,25,331,2273,3090,2826,264,
India,Ladakh,"Calendar Year (Jan - Dec), 2021","Jammu & Kashmir and Ladakh bifurcated and became UTs during Aug 2019; Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Radiographer Shortfall in Rural Areas, Pharmacist Shortfall in Rural Areas, Lab Technician Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",289,32,7,289,217,67,5,32,32,0,0,7,7,0,0,,,,321,478,394,84,,32,93,45,48,,28,36,8,28,20,7,27,26,1,,39,82,71,11,,39,52,44,8,,81,134,109,25,
India,Lakshadweep,"Calendar Year (Jan - Dec), 2021","Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Radiographer Shortfall in Rural Areas, Pharmacist Shortfall in Rural Areas, Lab Technician Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",7,4,3,7,7,0,0,4,4,0,0,3,3,0,0,,,,11,26,24,2,,4,13,13,0,,12,8,8,0,4,3,6,5,1,,7,14,11,3,,7,12,10,2,,25,58,46,12,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2021","Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",10189,1234,295,10189,8525,587,1077,1234,1140,94,0,295,289,6,0,,,,11423,12867,11981,886,,1234,1887,1307,580,,1180,945,43,902,1137,295,295,191,104,104,1529,1529,1437,92,92,1529,1529,1067,462,462,3299,3594,3418,176,
India,Maharashtra,"Calendar Year (Jan - Dec), 2021","Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas",10673,1839,270,10673,9285,358,1030,1839,1758,15,66,270,263,1,6,,,,12512,17867,14486,3381,,1839,4021,3252,769,,1080,483,337,146,743,270,142,107,35,163,2109,2213,1916,297,193,2109,2194,1630,564,479,3729,4218,3298,920,431
India,Manipur,"Calendar Year (Jan - Dec), 2021","Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Pharmacist Shortfall in Rural Areas, Lab Technician Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",416,86,17,416,335,14,67,86,81,0,5,17,17,0,0,,,,502,1140,1006,134,,86,337,308,29,,68,26,15,11,53,17,11,7,4,10,103,166,166,0,,103,135,118,17,,205,465,424,41,
India,Meghalaya,"Calendar Year (Jan - Dec), 2021","Surplus observed in Health Worker [Female]/ANM Vacant in Rural Areas, Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Radiographer Vacant in Rural Areas, Pharmacist Vacant in Rural Areas, Pharmacist Shortfall in Rural Areas, Lab Technician Vacant in Rural Areas, Lab Technician Shortfall in Rural Areas, Nursing Staff Vacant in Rural Areas, Nursing Staff Shortfall in Rural Areas",448,121,28,448,440,0,8,121,120,0,1,28,28,0,0,,,,569,1074,1122,,,121,175,162,13,,112,3,3,0,109,28,17,21,,7,149,165,178,,,149,176,190,,,317,718,782,,
India,Mizoram,"Calendar Year (Jan - Dec), 2021","Not Available in Health Worker [Female]/ANM Sanctioned in Rural Areas, Health Worker [Female]/ANM Vacant in Rural Areas; Surplus observed in Doctors at PHCs Vacant in Rural Areas, Radiographer Vacant in Rural Areas, Pharmacist Vacant in Rural Areas, Lab Technician Vacant in Rural Areas, Lab Technician Shortfall in Rural Areas, Nursing Staff Vacant in Rural Areas, Nursing Staff Shortfall in Rural Areas",340,62,9,340,329,7,4,62,62,0,0,9,9,0,0,,,,402,,324,,78,62,0,58,,4,36,0,0,0,36,9,0,7,,2,71,0,36,,35,71,0,83,,,125,0,230,,
India,Nagaland,"Calendar Year (Jan - Dec), 2021","Surplus observed in Health Worker [Female]/ANM Vacant in Rural Areas, Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Vacant in Rural Areas, Radiographer Vacant in Rural Areas, Pharmacist Vacant in Rural Areas, Lab Technician Vacant in Rural Areas, Nursing Staff Vacant in Rural Areas, Nursing Staff Shortfall in Rural Areas",427,131,21,427,371,2,54,131,127,0,4,21,21,0,0,,,,558,647,1008,,,131,97,123,,8,84,10,7,3,77,21,4,5,,16,152,105,124,,28,152,116,141,,11,278,329,398,,
India,Odisha,"Calendar Year (Jan - Dec), 2021",Surplus observed in Pharmacist Shortfall in Rural Areas,6688,1288,377,6688,4951,1351,386,1288,1259,0,29,377,377,0,0,,,,7976,8498,7579,919,397,1288,1331,926,405,362,1508,1511,309,1202,1199,377,158,70,88,307,1665,2045,1701,344,,1665,1047,839,208,826,3927,4469,2279,2190,1648
India,Punjab,"Calendar Year (Jan - Dec), 2021","Surplus observed in Radiographer Shortfall in Rural Areas, Pharmacist Shortfall in Rural Areas, Lab Technician Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",2951,422,150,2951,1729,6,1216,422,366,0,56,150,150,0,0,,,,3373,4538,3371,1167,2,422,610,401,209,21,600,562,153,409,447,150,166,155,11,,572,923,730,193,,572,857,601,256,,1472,2899,1912,987,
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",Surplus observed in Nursing Staff Shortfall in Rural Areas,13531,2130,589,13531,10709,857,1965,2130,1964,41,125,589,558,3,28,,,,15661,17941,15454,2487,207,2130,2463,2101,362,29,2356,1473,479,994,1877,589,700,329,371,260,2719,2336,1193,1143,1526,2719,3116,2097,1019,622,6253,11286,9239,2047,
India,Sikkim,"Calendar Year (Jan - Dec), 2021","Surplus observed in Health Worker [Female]/ANM Vacant in Rural Areas, Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Radiographer Shortfall in Rural Areas, Lab Technician Vacant in Rural Areas, Lab Technician Shortfall in Rural Areas, Nursing Staff Vacant in Rural Areas, Nursing Staff Shortfall in Rural Areas",147,24,2,147,146,1,0,24,24,0,0,2,2,0,0,,,,171,296,318,,,24,39,38,1,,8,24,0,24,8,2,4,4,0,,26,24,21,3,5,26,40,41,,,38,124,128,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021","Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",8713,1422,385,8713,6484,1737,492,1422,1392,0,30,385,385,0,0,,,,10135,11412,10859,553,,1422,2991,2725,266,,1540,326,251,75,1289,385,267,212,55,173,1807,1877,1572,305,235,1807,2011,1533,478,274,4117,8733,7811,922,
India,Telangana,"Calendar Year (Jan - Dec), 2021","Telangana came to existence in 2014 after bifurcation of Andhra Pradesh; Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",4744,636,85,4744,1273,2694,777,636,636,0,0,85,85,0,0,,,,5380,8996,7943,1053,,636,1254,1213,41,,340,625,258,367,82,85,99,44,55,41,721,675,442,233,279,721,773,647,126,74,1231,2412,2076,336,
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2021",Dadra & Nagar Haveli and Daman Diu merged as single UT during Jan 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2021","Dadra & Nagar Haveli and Daman Diu merged as single UT during Jan 2020,Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Pharmacist Shortfall in Rural Areas, Lab Technician Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",94.00000000000000000000,12.00000000000000000000,3.00000000000000000000,94.00000000000000000000,76.00000000000000000000,5.00000000000000000000,13.00000000000000000000,12.00000000000000000000,12.00000000000000000000,0.00000000000000000000,0.00000000000000000000,3.00000000000000000000,3.00000000000000000000,0.00000000000000000000,0.00000000000000000000,,,,106.00000000000000000000,154.00000000000000000000,154.00000000000000000000,0.00000000000000000000,,12.00000000000000000000,22.00000000000000000000,22.00000000000000000000,0.00000000000000000000,,12.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,12.00000000000000000000,3.00000000000000000000,2.00000000000000000000,1.00000000000000000000,1.00000000000000000000,2.00000000000000000000,15.00000000000000000000,21.00000000000000000000,21.00000000000000000000,0.00000000000000000000,,15.00000000000000000000,24.00000000000000000000,24.00000000000000000000,0.00000000000000000000,,33.00000000000000000000,78.00000000000000000000,78.00000000000000000000,0.00000000000000000000,
India,Tripura,"Calendar Year (Jan - Dec), 2021","Not Available in Health Worker [Female]/ANM Sanctioned in Rural Areas, Health Worker [Female]/ANM Vacant in Rural Areas, Doctors at PHCs Sanctioned in Rural Areas, Doctors at PHCs Vacant in Rural Areas, Specialists Sanctioned in Rural Areas, Specialists Vacant in Rural Areas, Radiographer Sanctioned in Rural Areas, Radiographer Vacant in Rural Areas, Pharmacist Sanctioned in Rural Areas, Pharmacist Vacant in Rural Areas, Lab Technician Sanctioned in Rural Areas, Lab Technician Vacant in Rural Areas, Nursing Staff Sanctioned in Rural Areas, Nursing Staff Vacant in Rural Areas; Surplus observed in Doctors at PHCs Shortfall in Rural Areas, Pharmacist Shortfall in Rural Areas, Lab Technician Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",967,108,22,967,804,19,144,108,108,0,0,22,22,0,0,,,,1075,,695,,380,108,,230,,,88,,4,,84,22,,12,,10,130,,166,,,130,,142,,,262,,759,,
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2021","Surplus observed in Doctors at PHCs Shortfall in Rural Areas, Pharmacist Shortfall in Rural Areas",20778,2923,753,20778,17124,3262,392,2923,2677,212,34,753,718,29,6,,,,23701,28448,21830,6618,1871,2923,4448,3093,1355,,3012,2902,872,2030,2140,753,508,185,323,568,3676,5296,4655,641,,3676,3378,2185,1193,1491,8194,11251,6512,4739,1682
India,Uttarakhand,"Calendar Year (Jan - Dec), 2021","Surplus observed in Doctors at PHCs Shortfall in Rural Areas, Pharmacist Shortfall in Rural Areas",1823,245,53,1823,1340,446,37,245,224,9,12,53,51,2,0,,,,2068,2274,1816,458,252,245,416,301,115,,212,236,52,184,160,53,37,16,21,37,298,341,310,31,,298,176,93,83,205,616,631,383,248,233
India,West Bengal,"Calendar Year (Jan - Dec), 2021","Surplus observed in Health Worker [Female]/ANM Shortfall in Rural Areas, Doctors at PHCs Shortfall in Rural Areas, Pharmacist Shortfall in Rural Areas, Nursing Staff Shortfall in Rural Areas",10357,915,348,10357,8338,1234,785,915,913,1,1,348,348,0,0,,,,11272,20378,18159,2219,,915,1533,955,578,,1392,328,67,261,1325,348,178,94,84,254,1263,1648,1412,236,,1263,1515,896,619,367,3351,7597,5909,1688,
